movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
454,15,8,4,5,6,8,3,5,24,23,39,5,17,4,8,13,13,11,157,12,3,4,29,4,14,3,5,3,0,2,11,
516,21,10,7,6,6,9,5,5,31,29,41,7,19,4,13,16,13,12,169,15,4,5,30,4,14,4,6,4,0,2,11,
604,32,12,12,7,6,10,10,6,40,34,43,7,22,5,21,19,16,13,187,15,5,7,32,4,15,4,7,6,0,4,11,
721,41,13,14,8,6,15,15,10,49,50,44,8,27,5,28,26,17,13,212,15,9,8,36,5,16,5,13,7,1,5,13,
839,47,16,15,9,7,15,18,14,58,67,46,8,31,9,35,31,22,14,236,21,11,11,38,7,17,6,15,7,2,8,13,
969,56,20,18,12,7,22,27,14,70,79,52,8,38,14,43,36,23,15,266,24,15,13,41,7,19,7,19,8,2,9,17,
1149,71,28,22,14,8,26,29,17,87,109,57,8,51,16,56,38,25,16,298,29,20,14,45,7,21,9,24,9,5,12,19,
1341,86,34,25,14,9,32,41,21,107,130,59,9,63,17,63,43,28,16,337,33,24,19,48,11,23,11,28,10,9,14,23,
1518,105,43,26,17,10,34,49,23,135,150,64,10,71,19,75,46,30,18,369,38,26,21,51,14,25,11,31,11,10,14,24,
1722,127,54,31,19,11,40,53,26,157,165,71,14,78,22,93,52,32,21,419,42,29,22,55,15,26,13,33,12,11,16,25,
1940,145,65,35,21,14,46,59,28,184,185,78,14,92,24,109,61,39,26,457,45,32,24,60,18,28,16,36,15,11,17,29,
2167,163,75,41,23,16,53,62,31,204,212,84,18,102,25,130,71,40,27,503,50,40,28,64,19,29,18,40,16,12,20,30,
2460,188,86,47,27,22,58,71,33,238,237,92,24,116,27,153,79,45,30,563,54,47,31,73,24,33,18,49,16,14,22,34,
2740,212,100,52,30,23,64,77,37,269,269,98,27,132,30,173,84,49,34,629,59,56,35,77,26,36,22,51,20,15,23,36,
3026,240,111,61,32,25,69,79,39,306,293,108,28,143,34,188,99,54,34,696,66,66,36,84,28,43,27,52,24,16,23,37,
3325,263,122,72,32,29,82,89,43,343,314,115,34,155,43,212,105,61,34,763,69,73,41,95,32,46,28,56,27,18,24,37,
3680,288,138,88,33,32,87,101,46,393,351,126,38,177,46,233,116,65,39,829,82,77,45,100,33,50,31,60,31,23,26,42,
3923,317,153,98,36,35,98,109,50,447,390,133,43,196,51,265,124,72,42,901,90,80,48,108,37,52,34,65,32,28,27,44,
4462,368,174,106,38,38,116,126,62,521,442,151,45,220,57,295,143,85,53,1003,98,91,52,127,40,61,40,73,35,33,31,46,
4866,397,191,112,41,43,129,140,70,579,488,158,50,243,63,325,154,91,60,1076,105,97,55,139,42,65,42,83,42,37,33,49,
5295,426,218,122,45,48,141,152,78,624,534,170,57,270,65,354,170,95,63,1160,112,107,62,150,45,70,47,92,44,41,35,52,
5722,457,233,133,48,53,160,166,87,680,579,187,62,292,72,385,181,105,69,1244,121,116,63,158,51,73,49,99,46,47,37,57,
6158,497,250,140,57,58,172,181,98,737,622,194,63,320,74,418,190,112,75,1335,127,126,67,164,55,77,57,106,53,51,43,61,
6600,537,269,150,59,63,186,192,109,795,668,208,67,345,81,445,202,122,81,1417,134,134,79,177,58,82,60,113,57,57,48,67,
7090,579,298,166,64,66,201,198,118,851,715,223,70,370,87,477,212,132,88,1526,142,146,85,187,63,87,61,123,61,57,53,74,
7584,618,320,176,71,71,216,209,125,917,769,239,73,391,90,514,227,143,97,1633,159,153,92,192,67,91,66,130,65,59,54,82,
8108,667,346,199,77,80,230,220,132,981,826,258,80,412,93,536,238,154,108,1750,170,166,99,200,69,97,70,140,68,64,56,85,
8638,715,370,205,81,84,250,233,142,1042,881,276,85,440,100,575,255,165,116,1851,178,180,105,207,71,107,71,154,76,68,62,92,
9150,764,393,221,86,89,268,244,153,1105,940,291,90,461,103,606,268,178,127,1943,190,194,107,221,75,111,74,160,83,71,65,97,
9480,804,420,241,96,93,285,259,160,1168,1011,305,96,484,109,652,288,186,142,2048,206,201,115,233,79,114,80,168,89,76,74,100,
10341,895,456,262,111,98,312,275,177,1263,1118,336,101,532,119,702,310,208,153,2203,219,219,126,250,94,121,85,186,93,83,84,105,
10927,954,489,278,116,104,326,290,191,1327,1185,356,114,563,124,736,331,219,167,2321,232,226,133,262,103,125,92,199,100,88,85,110,
11546,1014,516,302,122,115,334,303,203,1414,1254,369,123,596,133,784,351,226,178,2448,240,237,143,269,106,129,97,210,106,94,88,115,
12199,1069,550,320,127,120,354,322,217,1492,1330,387,129,627,139,831,366,236,192,2585,255,253,150,277,109,132,107,219,114,102,98,118,
12821,1129,567,338,137,128,379,333,227,1575,1398,412,137,650,150,875,387,249,209,2716,267,261,159,292,113,136,109,230,117,106,101,123,
13511,1180,599,351,147,132,395,343,240,1641,1485,430,145,703,158,930,407,267,220,2858,279,275,167,306,120,142,112,246,122,110,110,126,
14211,1237,634,375,157,133,421,357,259,1725,1577,451,156,724,166,987,430,274,226,2999,285,289,178,322,125,155,115,258,133,114,113,133,
14937,1310,667,396,162,135,442,375,272,1795,1672,474,173,762,180,1029,454,286,241,3158,294,302,181,334,135,157,119,266,143,117,119,142,
15681,1369,702,413,176,144,463,385,284,1880,1767,501,180,804,187,1081,470,300,256,3338,313,315,190,344,146,163,127,278,152,118,121,146,
16436,1440,749,428,184,151,493,409,303,1964,1871,524,189,851,193,1131,494,317,264,3479,329,328,199,355,153,169,135,290,156,120,125,154,
17160,1512,771,455,188,155,510,425,316,2056,1964,548,196,893,196,1177,527,336,277,3629,337,339,210,369,157,176,140,299,165,127,131,158,
17495,1590,817,476,198,158,526,441,330,2130,2050,573,208,933,208,1219,550,350,287,3792,350,357,219,387,159,185,149,312,174,134,135,165,
18758,1721,884,514,210,169,565,463,352,2266,2195,613,227,996,221,1314,573,366,306,4052,377,374,236,405,170,196,154,330,184,146,144,174,
19572,1788,924,535,222,178,584,475,369,2362,2310,642,237,1053,229,1359,597,385,321,4226,393,391,248,419,180,209,159,338,193,153,154,182,
20404,1866,982,564,237,190,611,485,385,2446,2412,668,245,1100,242,1418,629,404,332,4399,412,406,258,439,188,221,164,348,204,162,162,186,
21250,1959,1030,579,248,196,637,504,408,2539,2499,700,255,1143,251,1481,657,412,348,4584,426,422,266,458,196,228,168,360,211,170,170,192,
22149,2041,1089,615,263,207,654,523,420,2647,2614,733,266,1193,260,1536,681,432,358,4759,447,436,277,475,213,241,177,370,220,180,176,200,
23066,2122,1147,642,275,210,673,545,429,2742,2733,759,283,1240,266,1613,711,448,375,4958,467,450,292,496,216,254,185,381,232,193,184,207,
23956,2211,1205,675,289,218,701,560,451,2843,2845,781,292,1289,280,1672,747,469,391,5132,490,467,297,515,225,262,191,395,238,196,192,212,
24871,2282,1260,708,302,228,726,581,472,2942,2959,812,305,1340,288,1741,771,491,406,5328,506,479,307,531,232,271,198,409,245,201,196,219,
25817,2360,1316,733,306,236,746,596,492,3034,3096,845,320,1395,299,1800,804,509,419,5525,526,500,320,547,242,282,205,423,254,207,203,226,
26753,2455,1361,764,315,240,774,619,510,3119,3217,872,333,1448,316,1867,821,530,438,5721,544,508,331,570,252,293,220,437,263,212,216,232,
27738,2552,1414,799,326,249,805,644,529,3224,3352,907,343,1505,333,1935,852,550,457,5920,561,523,339,588,259,302,223,456,278,216,226,239,
