year,FromTime,ToTime,spv,FDI,TotalLand
1995,1,12,1,287.9,152.1
1995,1,12,2,104.1,317.7
1995,1,12,3,49.2,5198.5
1995,1,12,4,7.3,2954.6
1995,1,12,5,10.1,4309.2
1995,1,12,6,66.8,2373.1
1995,1,12,7,55.4,3521.5
1995,1,12,8,37.3,4720.5
1995,1,12,9,349.9,239.6
1995,1,12,10,346.5,3632.6
1995,1,12,11,81.3,1908.3
1995,1,12,12,22.1,3784.6
1995,1,12,13,170.0,976.2
1995,1,12,14,17.2,3081.1
1995,1,12,15,231.5,4965.8
1995,1,12,16,79.2,5848.2
1995,1,12,17,44.8,2788.0
1995,1,12,18,26.3,3445.1
1995,1,12,19,687.9,2922.3
1995,1,12,20,49.7,2357.5
1995,1,12,21,59.6,265.8
1995,1,12,22,23.8,1702.2
1995,1,12,23,66.8,4769.9
1995,1,12,24,6.4,1873.5
1995,1,12,25,12.3,3230.1
1995,1,12,26,0.4,218.8
1995,1,12,27,30.5,3723.0
1995,1,12,28,16.2,2812.0
1995,1,12,29,1.2,380.2
1995,1,12,30,4.1,667.9
1995,1,12,31,4.9,1428.1
1996,13,24,1,354.5,152.7
1996,13,24,2,154.7,275.4
1996,13,24,3,76.7,5243.9
1996,13,24,4,12.3,2630.8
1996,13,24,5,11.0,6145.7
1996,13,24,6,84.4,2579.3
1996,13,24,7,73.3,2975.6
1996,13,24,8,48.1,4939.1
1996,13,24,9,471.5,231.5
1996,13,24,10,448.6,3475.7
1996,13,24,11,107.2,1970.2
1996,13,24,12,29.9,3770.9
1996,13,24,13,209.8,956.9
1996,13,24,14,21.7,2006.3
1996,13,24,15,289.9,5133.6
1996,13,24,16,104.6,5771.7
1996,13,24,17,57.2,2868.5
1996,13,24,18,37.5,3927.3
1996,13,24,19,869.0,2243.0
1996,13,24,20,59.4,2856.0
1996,13,24,21,67.2,278.2
1996,13,24,22,24.7,1463.6
1996,13,24,23,69.1,4101.3
1996,13,24,24,7.9,1904.9
1996,13,24,25,15.3,4491.3
1996,13,24,26,0.6,239.2
1996,13,24,27,36.7,3459.3
1996,13,24,28,19.7,5197.2
1996,13,24,29,1.4,414.7
1996,13,24,30,4.7,676.5
1996,13,24,31,6.0,1262.4
1997,25,36,1,414.4,140.2
1997,25,36,2,214.8,271.3
1997,25,36,3,107.7,5305.0
1997,25,36,4,22.0,2834.5
1997,25,36,5,12.8,3952.6
1997,25,36,6,107.2,2653.9
1997,25,36,7,88.3,2901.8
1997,25,36,8,61.8,5648.5
1997,25,36,9,583.3,249.8
1997,25,36,10,561.0,3438.0
1997,25,36,11,130.2,1889.6
1997,25,36,12,35.4,3878.5
1997,25,36,13,246.6,968.7
1997,25,36,14,29.1,2031.0
1997,25,36,15,339.4,5167.7
1997,25,36,16,129.7,5420.5
1997,25,36,17,68.6,2782.3
1997,25,36,18,51.5,3329.8
1997,25,36,19,1031.2,2312.5
1997,25,36,20,72.7,2540.4
1997,25,36,21,72.8,274.8
1997,25,36,22,26.5,1507.3
1997,25,36,23,74.3,4223.9
1997,25,36,24,9.8,1810.5
1997,25,36,25,17.5,2957.9
1997,25,36,26,0.5,222.2
1997,25,36,27,49.6,3073.4
1997,25,36,28,20.6,3331.5
1997,25,36,29,2.3,443.9
1997,25,36,30,5.1,722.7
1997,25,36,31,6.0,1332.9
1998,37,48,1,495.1,136.9
1998,37,48,2,270.1,277.0
1998,37,48,3,141.0,5351.1
1998,37,48,4,30.0,2957.6
1998,37,48,5,14.6,4182.2
1998,37,48,6,127.5,2650.6
1998,37,48,7,92.5,2884.8
1998,37,48,8,71.1,7443.2
1998,37,48,9,647.8,216.5
1998,37,48,10,688.2,3419.9
1998,37,48,11,147.7,1886.9
1998,37,48,12,37.3,4049.1
1998,37,48,13,281.2,1008.3
1998,37,48,14,35.4,2034.6
1998,37,48,15,375.9,5249.9
1998,37,48,16,149.1,6141.5
1998,37,48,17,85.8,2602.6
1998,37,48,18,61.8,3177.1
1998,37,48,19,1189.1,2448.7
1998,37,48,20,84.9,2729.9
1998,37,48,21,78.3,277.6
1998,37,48,22,30.3,1366.1
1998,37,48,23,84.9,3828.2
1998,37,48,24,12.3,1834.0
1998,37,48,25,19.1,3244.6
1998,37,48,26,0.6,214.5
1998,37,48,27,52.5,3158.8
1998,37,48,28,20.7,2484.4
1998,37,48,29,3.7,441.5
1998,37,48,30,5.7,681.3
1998,37,48,31,5.9,1454.3
1999,49,60,1,578.0,160.3
1999,49,60,2,321.2,272.6
1999,49,60,3,165.4,5388.2
1999,49,60,4,43.3,2886.9
1999,49,60,5,16.3,4446.4
1999,49,60,6,143.8,2675.9
1999,49,60,7,92.6,3111.9
1999,49,60,8,78.6,7553.8
1999,49,60,9,688.6,275.6
1999,49,60,10,799.4,3441.1
1999,49,60,11,168.9,1923.0
1999,49,60,12,40.8,4113.7
1999,49,60,13,310.7,1019.6
1999,49,60,14,38.4,2055.6
1999,49,60,15,417.0,5248.4
1999,49,60,16,162.8,6639.1
1999,49,60,17,89.5,2637.2
1999,49,60,18,68.0,3203.6
1999,49,60,19,1339.6,2371.7
1999,49,60,20,91.0,2683.6
1999,49,60,21,79.6,258.4
1999,49,60,22,32.1,1409.1
1999,49,60,23,89.9,3948.8
1999,49,60,24,14.8,1866.5
1999,49,60,25,20.7,2943.2
1999,49,60,26,0.6,221.0
1999,49,60,27,54.2,2983.3
1999,49,60,28,20.9,2555.4
1999,49,60,29,3.6,487.0
1999,49,60,30,5.9,735.4
1999,49,60,31,5.9,1466.8
