spvhk,VillageSize,TotalVillageNumber
1,916,1
2,937,1
3,360,28
3,358,28
3,358,28
3,358,28
3,408,28
3,408,28
3,408,28
3,408,28
3,562,28
3,562,28
3,562,28
3,562,28
3,692,28
3,692,28
3,692,28
3,692,28
3,814,28
3,814,28
3,814,28
3,814,28
3,1059,28
3,1059,28
3,1059,28
3,1059,28
3,1140,28
3,1140,28
3,1140,28
3,1140,28
4,423,8
4,424,8
4,1191,8
4,1191,8
4,1191,8
4,1191,8
4,1260,8
4,1260,8
5,262,3
5,1250,3
5,3654,3
6,106,7
6,545,7
6,745,7
6,876,7
6,1709,7
6,1752,7
6,1927,7
7,324,8
7,322,8
7,418,8
7,418,8
7,675,8
7,675,8
7,1286,8
7,1286,8
8,283,8
8,284,8
8,391,8
8,391,8
8,781,8
8,781,8
8,1895,8
8,1895,8
9,208,2
9,415,2
10,446,12
10,622,12
10,711,12
10,711,12
10,867,12
10,1104,12
10,1723,12
10,1772,12
10,1777,12
10,1822,12
10,2048,12
10,2666,12
11,336,11
11,632,11
11,663,11
11,689,11
11,689,11
11,747,11
11,768,11
11,1238,11
11,1378,11
11,1383,11
11,1723,11
12,130,24
12,131,24
12,146,24
12,146,24
12,219,24
12,219,24
12,365,24
12,365,24
12,583,24
12,583,24
12,656,24
12,656,24
12,714,24
12,714,24
12,714,24
12,714,24
12,729,24
12,729,24
12,974,24
12,974,24
12,974,24
12,974,24
12,2749,24
12,2749,24
13,53,10
13,103,10
13,248,10
13,259,10
13,1033,10
13,1085,10
13,1137,10
13,1150,10
13,1252,10
13,1949,10
14,76,15
14,75,15
14,75,15
14,122,15
14,122,15
14,122,15
14,1005,15
14,1005,15
14,1005,15
14,1168,15
14,1168,15
14,1168,15
14,1355,15
14,1355,15
14,1355,15
15,54,34
15,48,34
15,120,34
15,120,34
15,144,34
15,144,34
15,209,34
15,209,34
15,225,34
15,225,34
15,249,34
15,249,34
15,280,34
15,280,34
15,280,34
15,280,34
15,641,34
15,641,34
15,641,34
15,641,34
15,687,34
15,687,34
15,882,34
15,882,34
15,962,34
15,962,34
15,962,34
15,962,34
15,1483,34
15,1483,34
15,1844,34
15,1844,34
15,2406,34
15,2406,34
16,123,42
16,120,42
16,120,42
16,144,42
16,144,42
16,144,42
16,241,42
16,241,42
16,241,42
16,280,42
16,280,42
16,280,42
16,449,42
16,449,42
16,449,42
16,522,42
16,522,42
16,522,42
16,585,42
16,585,42
16,585,42
16,682,42
16,682,42
16,682,42
16,962,42
16,962,42
16,962,42
16,1072,42
16,1072,42
16,1072,42
16,1072,42
16,1072,42
16,1072,42
16,1204,42
16,1204,42
16,1204,42
16,1228,42
16,1228,42
16,1228,42
16,1283,42
16,1283,42
16,1283,42
17,166,16
17,165,16
17,218,16
17,218,16
17,496,16
17,496,16
17,749,16
17,749,16
17,871,16
17,871,16
17,1165,16
17,1165,16
17,1165,16
17,1165,16
17,2091,16
17,2091,16
18,70,30
18,68,30
18,68,30
18,143,30
18,143,30
18,143,30
18,168,30
18,168,30
18,168,30
18,336,30
18,336,30
18,336,30
18,420,30
18,420,30
18,420,30
18,629,30
18,629,30
18,629,30
18,839,30
18,839,30
18,839,30
18,839,30
18,839,30
18,839,30
18,1122,30
18,1122,30
18,1122,30
18,1847,30
18,1847,30
18,1847,30
19,21,16
19,55,16
19,161,16
19,221,16
19,280,16
19,539,16
19,580,16
19,806,16
19,878,16
19,1068,16
19,1081,16
19,1088,16
19,1290,16
19,1520,16
19,1520,16
19,1520,16
20,354,11
20,452,11
20,574,11
20,794,11
20,864,11
20,1058,11
20,1235,11
20,1588,11
20,1676,11
20,2263,11
20,2281,11
21,512,2
21,1023,2
22,604,8
22,602,8
22,602,8
22,602,8
22,1247,8
22,1247,8
22,1247,8
22,1247,8
23,87,24
23,86,24
23,170,24
23,170,24
23,256,24
23,256,24
23,256,24
23,256,24
23,306,24
23,306,24
23,358,24
23,358,24
23,937,24
23,937,24
23,1139,24
23,1139,24
23,1188,24
23,1188,24
23,1618,24
23,1618,24
23,2385,24
23,2385,24
23,3024,24
23,3024,24
24,884,10
24,884,10
24,900,10
24,900,10
24,982,10
24,982,10
24,1228,10
24,1228,10
24,1472,10
24,1472,10
25,615,12
25,614,12
25,732,12
25,732,12
25,916,12
25,916,12
25,1191,12
25,1191,12
25,1208,12
25,1208,12
25,2303,12
25,2303,12
26,278,2
26,556,2
27,113,10
27,311,10
27,413,10
27,455,10
27,641,10
27,826,10
27,826,10
27,1292,10
27,1860,10
27,2479,10
28,77,14
28,84,14
28,167,14
28,334,14
28,427,14
28,502,14
28,535,14
28,544,14
28,552,14
28,586,14
28,652,14
28,719,14
28,987,14
28,1204,14
29,409,2
29,819,2
30,1263,1
31,391,6
31,391,6
31,541,6
31,541,6
31,1145,6
31,1145,6
